#  idx_gal   gal_id   Ngal    Ri_avr(kpc)  size_i(kpc)   sigma_i(km/s)   delta_v    delta_sigma     P_v      P_sigma    Pmin(ds)
     57        57       6      22435.23       8573.19     468467.94      2.61177      1.85231     0.0030     0.1320     0.0030
     57        57       9      20790.62       8573.19     386915.94      3.44741      2.76657     0.0000     0.0200     0.0000
     57        57      12      25307.19       8573.19     379505.06      4.45358      3.15783     0.0000     0.0090     0.0000
     57        57      15      27860.33       8573.19     618230.54      4.13150      1.34186     0.0000     0.1920     0.0000
     58        58       3      99285.81       4930.35     437183.65      0.58317      1.84051     0.4530     0.2410     0.2410
     58        58       6      97992.48       4930.35     355048.42      0.68429      2.80704     0.4910     0.0210     0.0210
     58        58       9      98878.46       4930.35     425962.99      1.35920      2.79432     0.1400     0.0150     0.0150
     58        58      12      96592.28       4930.35     853367.93      1.48357     -0.08362     0.1190     0.5910     0.1190
     58        58      15      96798.07       4930.35     937648.59      0.82264     -0.78370     0.3880     0.7630     0.3880
     59        59       3      46882.94       3003.50     696188.18      0.68757      0.68099     0.3510     0.4810     0.3510
     59        59       6      44648.81       3003.50     807896.06      0.36040      0.22341     0.7110     0.5190     0.5190
     59        59       9      45589.75       3003.50     772847.20      0.08402      0.49426     0.9340     0.4420     0.4420
     59        59      12      45806.06       3003.50     800146.50      0.27532      0.34917     0.7860     0.4510     0.4510
     59        59      15      46037.59       3003.50     764962.11      0.70825      0.66920     0.4690     0.3640     0.3640
     60        60       3      74499.90       2423.22      23332.46      0.75618      3.72887     0.3180     0.0000     0.0000
     60        60       6      73725.53       2423.22     160078.29      1.17366      3.99879     0.1780     0.0010     0.0010
     60        60       9      73306.08       2423.22     901113.01      0.01341      0.05327     0.9880     0.5240     0.5240
     60        60      12      73539.63       2423.22     847539.56      0.36968      0.43221     0.7040     0.4260     0.4260
     60        60      15      74636.26       2423.22     992505.99      0.41610     -0.62984     0.6960     0.7450     0.6960
     61        61       3      74056.98       2021.49    1063957.58      1.37541     -0.64902     0.0820     0.7410     0.0820
     61        61       6      73166.42       2021.49    1254233.42      1.58305     -1.83800     0.0780     0.9220     0.0780
     61        61       9      72701.58       2021.49    1065533.53      1.34054     -0.96860     0.1560     0.7950     0.1560
     61        61      12      72810.68       2021.49    1017858.39      1.58172     -0.75234     0.0980     0.7670     0.0980
     61        61      15      73135.42       2021.49     968361.78      1.21153     -0.44623     0.2020     0.6730     0.2020
     62        62       3     192358.30      40107.60     114726.76      0.51766      3.17158     0.4870     0.0230     0.0230
     62        62       6     174276.85      40107.60     173622.15      0.93102      3.59496     0.2960     0.0030     0.0030
     62        62       9     162951.78      40107.60     464306.01      0.31768      1.73496     0.7350     0.1260     0.1260
     62        62      12     155664.87      40107.60     510846.90      0.48187      1.63974     0.6260     0.1470     0.1470
     62        62      15     151574.93      40107.60     556133.65      0.02076      1.33862     0.9780     0.1650     0.1650
     63        63       3     126406.81        278.76     228633.85      1.10778      2.68627     0.1470     0.0890     0.0890
     63        63       6     125932.42        278.76     368299.24      1.16362      2.52262     0.2030     0.0510     0.0510
     63        63       9     126184.37        278.76     616583.41      0.92399      1.10891     0.3180     0.2730     0.2730
     63        63      12     127602.40        278.76     655505.10      0.89347      0.63519     0.3550     0.3720     0.3550
     63        63      15     127331.59        278.76     606131.62      1.12917      1.16330     0.2830     0.2140     0.2140
     64        64       3      29161.21       2807.96     857730.54      0.28979     -0.45269     0.7020     0.7160     0.7020
     64        64       6      30139.07       2807.96     649663.85      0.43385      0.84168     0.6260     0.3520     0.3520
     64        64       9      33640.19       2807.96     557501.77      0.39669      1.64353     0.6760     0.1720     0.1720
     64        64      12      33851.07       2807.96     669299.64      0.13907      0.93929     0.8910     0.2820     0.2820
     64        64      15      36065.82       2807.96     634716.34      0.37345      1.46776     0.6900     0.1480     0.1480
     65        65       3      82655.11       4939.03    1661895.70      0.84056     -3.40109     0.2460     0.9700     0.2460
     65        65       6      80668.42       4939.03    1256935.12      0.14779     -2.07928     0.8840     0.9280     0.8840
     65        65       9      80532.42       4939.03    1236338.49      0.78128     -2.29013     0.4100     0.9670     0.4100
     65        65      12      80153.91       4939.03    1168506.33      1.23742     -2.07506     0.2090     0.9510     0.2090
     65        65      15      80712.49       4939.03    1044147.29      1.53179     -1.29122     0.1130     0.8860     0.1130
     66        66       3     104841.24       6369.22     436567.93      0.84947      1.75075     0.2670     0.2530     0.2530
     66        66       6     102063.52       6369.22     398817.63      1.22673      2.44763     0.1800     0.0660     0.0660
     66        66       9     101561.87       6369.22    1003985.44      0.68233     -1.40025     0.4600     0.8920     0.4600
     66        66      12     103270.69       6369.22    1004942.15      0.29288     -1.57448     0.7590     0.8960     0.7590
     66        66      15     105122.53       6369.22     968535.45      0.48171     -1.40861     0.6310     0.8790     0.6310
     67        67       3     140301.64       5534.32     637017.93      0.60964      0.48132     0.4260     0.5490     0.4260
     67        67       6     137341.34       5534.32     890337.60      0.15060     -1.07674     0.8610     0.8240     0.8240
     67        67       9     135513.07       5534.32     833211.05      0.08719     -0.81121     0.9280     0.8040     0.8040
     67        67      12     134917.45       5534.32     763593.89      0.28482     -0.30332     0.7630     0.6130     0.6130
     67        67      15     132963.19       5534.32     697158.64      0.51573      0.29908     0.6010     0.4720     0.4720
     68        68       3      99265.10       9104.89     590911.31      0.17322      1.14199     0.7830     0.3820     0.3820
     68        68       6     100458.32       9104.89     642254.77      0.99526      0.97956     0.2720     0.3420     0.2720
     68        68       9      98646.99       9104.89     762351.47      0.59909      0.53624     0.5180     0.4100     0.4100
     68        68      12      96131.08       9104.89     982690.21      0.07042     -1.05508     0.9440     0.8330     0.8330
     68        68      15      95161.09       9104.89     921736.78      0.19777     -0.65300     0.8150     0.7170     0.7170
     69        69       3      72094.35       3135.57     452887.67      0.27824      1.92174     0.7040     0.2280     0.2280
     69        69       6      72496.28       3135.57     961025.30      0.34855     -0.27388     0.7240     0.6430     0.6430
     69        69       9      72851.52       3135.57    1014840.99      0.06802     -0.65355     0.9220     0.7680     0.7680
     69        69      12      72782.91       3135.57     970727.80      0.08162     -0.42455     0.9420     0.6870     0.6870
     69        69      15      72519.44       3135.57     883535.65      0.21831      0.19886     0.8120     0.4950     0.4950
     70        70       3      12149.92       3111.55     267280.76      0.49198      2.47699     0.5590     0.1310     0.1310
     70        70       6      14137.09       3111.55     784874.60      0.40910     -0.17420     0.6850     0.6250     0.6250
     70        70       9      15395.94       3111.55     916780.48      1.41024     -1.18721     0.1230     0.8370     0.1230
     70        70      12      15166.94       3111.55     807357.73      1.75177     -0.41485     0.0630     0.6760     0.0630
     70        70      15      18343.08       3111.55     813422.61      1.36864     -0.50899     0.1670     0.7060     0.1670
